Unnamed: 0,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
42,42 Coin,Scrypt,True,PoW/PoS,41.99995383,42.0
404,404Coin,Scrypt,True,PoW/PoS,1055184902.04,532000000.0
1337,EliteCoin,X13,True,PoW/PoS,29279424622.5027,314159265359.0
BTC,Bitcoin,SHA-256,True,PoW,17927175.0,21000000.0
ETH,Ethereum,Ethash,True,PoW,107684222.6865,0.0
LTC,Litecoin,Scrypt,True,PoW,63039243.3000049,84000000.0
DASH,Dash,X11,True,PoW/PoS,9031294.37563393,22000000.0
XMR,Monero,CryptoNight-V7,True,PoW,17201143.1449131,0.0
ETC,Ethereum Classic,Ethash,True,PoW,113359703.0,210000000.0
ZEC,ZCash,Equihash,True,PoW,7383056.25,21000000.0
BTS,Bitshares,SHA-512,True,PoS,2741570000.0,3600570502.0
DGB,DigiByte,Multiple,True,PoW,11406219141.0,21000000000.0
BTCD,BitcoinDark,SHA-256,True,PoW/PoS,1288862.0,22000000.0
XPY,PayCoin,SHA-256,True,PoS,11995334.8847328,12500000.0
PRC,ProsperCoin,Scrypt,True,PoW,5768310.0,21000000.0
KOBO,KoboCoin,X15,True,PoW/PoS,25542535.5881841,350000000.0
SPR,Spreadcoin,X11,True,PoW,11149733.9976203,20000000.0
ARG,Argentum,Scrypt,True,PoW,12205795.4449549,64000000.0
AUR,Aurora Coin,Scrypt,True,PoW/PoS,18135099.992959,16768584.0
BLU,BlueCoin,Scrypt,True,PoW/PoS,635423900.0,0.0
XMY,MyriadCoin,Multiple,True,PoW,1688254250.0,2000000000.0
MOON,MoonCoin,Scrypt,True,PoW,88.0,384000000000.0
ZET,ZetaCoin,SHA-256,True,PoW,170204389.754849,169795588.0
SXC,SexCoin,Scrypt,True,PoW,128940951.183046,250000000.0
QTL,Quatloo,Scrypt,True,PoW,7357794.7925,100000000.0
ENRG,EnergyCoin,Scrypt,True,PoW/PoS,123062801.128773,0.0
QRK,QuarkCoin,Quark,True,PoW,259557164.91477,247000000.0
RIC,Riecoin,Groestl,True,PoW,49548585.1412917,84000000.0
DGC,Digitalcoin ,Scrypt,True,PoW,33442988.3440364,48166000.0
BTB,BitBar,Scrypt,True,PoW/PoS,42579.476901,500000.0
CAT,Catcoin,Scrypt,True,PoW,7219956.64626131,21000000.0
CBX,CryptoBullion,Scrypt,True,PoW/PoS,1039116.65144562,1000000.0
CCN,CannaCoin,Scrypt,True,PoW,4703879.51824446,13140000.0
CRYPT,CryptCoin,X11,True,PoW,4996986.20575291,18000000.0
CSC,CasinoCoin,Scrypt,True,PoC,39999997299.8568,40000000000.0
DMD,Diamond,Groestl,True,PoW/PoS,3304487.74735637,4380000.0
XVG,Verge,Multiple,True,PoW,15929530669.1206,16555000000.0
DVC,DevCoin,SHA-256,True,PoW,18773857500.0,21000000000.0
EAC,EarthCoin,Scrypt,True,PoW,12539015186.822,13500000000.0
EFL,E-Gulden,Scrypt,True,PoW,20910478.8062499,21000000.0
EMC2,Einsteinium,Scrypt,True,PoW,218871896.499999,299792458.0
EMD,Emerald,Scrypt,True,PoW,19496786.31025,32000000.0
EXCL,Exclusive Coin,PoS,True,PoS,5679705.0,0.0
FLT,FlutterCoin,Scrypt,True,PoS/PoW/PoT,461829905.32893,0.0
FRK,Franko,Scrypt,True,PoW,1142732.14912776,11235813.0
FTC,FeatherCoin,NeoScrypt,True,PoW,208669093.00773,336000000.0
GDC,GrandCoin,Scrypt,True,PoW,884125802.0,1420609614.0
GLC,GlobalCoin,Scrypt,True,PoW,65672720.4708748,70000000.0
GLD,GoldCoin,Scrypt,True,PoW,41658647.9999715,72245700.0
HBN,HoboNickels,Scrypt,True,PoW/PoS,89266933.684704,120000000.0
HYP,HyperStake,X11,True,PoS,1678520090.7713,0.0
IFC,Infinite Coin,Scrypt,True,PoW,90595753018.6314,90600000000.0
IOC,IOCoin,X11,True,PoW/PoS,17650913.9743456,22000000.0
IXC,IXcoin,SHA-256,True,PoW,21089348.999,21000000.0
KGC,KrugerCoin,Scrypt,True,PoW,151447649.8,265420800.0
LKY,LuckyCoin,Scrypt,True,PoW,19326319.14375,20000000.0
LTB,Litebar ,Scrypt,True,PoW,1104344.22938102,1350000.0
MAX,MaxCoin,SHA3,True,PoW/PoS,61445805.0,100000000.0
MEC,MegaCoin,Scrypt,True,PoW,38151999.9930997,42000000.0
MED,MediterraneanCoin,HybridScryptHash256,True,PoW,40431856.9,200000000.0
MINT,MintCoin,Scrypt,True,PoS,21293925445.4969,0.0
MINC,MinCoin,Scrypt,True,PoW,5804204.88794916,10000000.0
MZC,MazaCoin,SHA-256,True,PoW/PoS,1613836099.99999,2419200000.0
NAUT,Nautilus Coin,Scrypt,True,PoS,16180000.0,16180000.0
NAV,NavCoin,X13,True,PoW/PoS,66087096.2077108,0.0
NOBL,NobleCoin,Scrypt,True,PoW,2366066305.76482,15000000000.0
NMC,Namecoin,SHA-256,True,PoW,14736400.0,21000000.0
NYAN,NyanCoin,Scrypt,True,PoW,334709223.483138,337000000.0
OPAL,OpalCoin,X13,True,PoW/PoS,15156364.3306548,0.0
ORB,Orbitcoin,NeoScrypt,True,PoW/PoS,3220616.279225,3770000.0
POT,PotCoin,Scrypt,True,PoW/PoS,222677226.014206,420000000.0
PXC,PhoenixCoin,Scrypt,True,PoW/PoS,73959274.625,98000000.0
RDD,Reddcoin,Scrypt,True,PoW/PoS,29315567169.0888,0.0
RPC,RonPaulCoin,Scrypt,True,PoW,1104157.42169891,21000000.0
SBC,StableCoin,Scrypt,True,PoW,24215181.725,250000000.0
SMC,SmartCoin,Scrypt,True,PoW,25593737.1355044,51200000.0
SUPER,SuperCoin,X11,True,PoS,50707661.7493518,0.0
SYNC,SyncCoin,X11,True,PoW/PoS,1177.0,1000.0
SYS,SysCoin,SHA-256,True,PoW,563336541.299966,888000000.0
TES,TeslaCoin,Multiple,True,PoS,80260463.7331396,100000000.0
TGC,TigerCoin,SHA-256,True,PoW,43536800.0,47011968.0
TIT,TittieCoin,PHI1612,True,PoS,1622326490.46336,2300000000.0
TOR,TorCoin,X11,True,PoW/PoS,1431851.00002479,10000000.0
TRC,TerraCoin,SHA-256,True,PoW,22935396.0,42000000.0
UNB,UnbreakableCoin,SHA-256,True,PoW,2278150.0,80000000.0
UNO,Unobtanium,SHA-256,True,PoW,200911.79151896,250000.0
URO,UroCoin,X11,True,PoW,1207310.0,0.0
USDE,UnitaryStatus Dollar,Scrypt,True,PoW/PoS,1098952592.6,1600000000.0
UTC,UltraCoin,Scrypt,True,PoW/PoS,50235211.141939,100000000.0
VIA,ViaCoin,Scrypt,True,PoW,23150892.1679687,23000000.0
VRC,VeriCoin,Scrypt,True,PoST,32021108.4136696,0.0
VTC,Vertcoin,Lyra2REv2,True,PoW,51173723.8166347,84000000.0
WDC,WorldCoin,Scrypt,True,PoW,119606941.0,265420800.0
XC,X11 Coin,X11,True,PoW/PoS,6950831.0970606,5500000.0
XCR,Crypti,Multiple,True,PoS,100000000.0,0.0
XJO,JouleCoin,SHA-256,True,PoW,39195739.362088,45000000.0
XST,StealthCoin,X13,True,PoW/PoS,33093725.4123502,0.0
ZCC,ZCC Coin,Scrypt,True,PoW/PoS,147990237.978331,1000000000.0
BCN,ByteCoin,CryptoNight,True,PoW,184066828814.0,184467440735.0
XDN,DigitalNote ,CryptoNight,True,PoW,6906587610.38292,10000000000.0
BURST,BurstCoin,Shabal256,True,PoC,1813033920.0,2158812800.0
SJCX,StorjCoin,Counterparty,True,PoS,51173144.0,500000000.0
MONA,MonaCoin,Scrypt,True,PoW,68194674.8711679,105120000.0
NTRN,Neutron,SHA-256,True,PoW/PoS,39121694.0,68000000.0
FAIR,FairCoin,Groestl,True,PoW/PoS,53193831.0,0.0
NLG,Gulden,Scrypt,True,PoW,415032420.0,1680000000.0
RBY,RubyCoin,Scrypt,True,PoS,27184490.3918338,0.0
PTC,PesetaCoin,Scrypt,True,PoW,137517654.41397,166386000.0
KORE,Kore,X13,True,PoW/PoS,2022464.886973,12000000.0
WBB,Wild Beast Coin,Scrypt,True,PoW,181919.2435974,2628000.0
NOTE,Dnotes,Scrypt,True,PoS,174646113.934655,500000000.0
FLO,Flo,Scrypt,True,PoW,152270664.860648,160000000.0
8BIT,8BIT Coin,Scrypt,True,PoW/PoS,1467841.0,0.0
STV,Sativa Coin,X13,True,PoW/PoS,7096834.0,10000000.0
ABY,ArtByte,Scrypt,True,PoW,792537250.0,1000000000.0
FLDC,Folding Coin,Stanford Folding,True,PoW,719416990.0,1000000000.0
U,Ucoin,X11,True,PoS,2689812.0,20000000.0
UIS,Unitus,Multiple,True,PoW,65113302.0,0.0
CYP,CypherPunkCoin,QuBit,True,PoW,6365285.0,0.0
OMC,OmniCron,Scrypt,True,PoW,10140044.4430293,3371337.0
VTR,Vtorrent,Scrypt,True,PoW/PoS,11604722.0,20000000.0
GRE,GreenCoin,Scrypt,True,PoW,4610340640.89,10000000000.0
XCN,Cryptonite,M7 POW,True,PoW,708506520.0,1840000000.0
MSC,MasterCoin,Scrypt,True,PoW,619478.0,619478.0
SOON,SoonCoin,SHA-256,True,PoW,12462620.0,21000000.0
1CR,1Credit,Scrypt,True,PoW,88213.0,92000000000.0
ISL,IslaCoin,X11,True,PoW/PoS,1513704.0,0.0
NXS,Nexus,SHA3,True,PoW/nPoS,63657220.0,78000000.0
MARS,MarsCoin ,X11,True,PoW,32221574.820996,33000000.0
CTO,Crypto,Lyra2RE,True,PoW,13742738.0,65789100.0
ACP,Anarchists Prime,SHA-256,True,PoW,14747200.0002,53760000.0
DRZ,Droidz,QUAIT,True,PoW/PoS,8568038.35935056,5060000.0
BSC,BowsCoin,X11,True,PoW,15863837.5,21000000.0
SQL,Squall Coin,X11,True,PoS/PoW,329200.01639,0.0
SONG,Song Coin,Scrypt,True,PoW,32565300.0,210240000.0
ZNY,BitZeny,Scrypt,True,PoW,75614500.0,250000000.0
DIGS,Diggits,Scrypt,True,PoS,100000000.0,100000000.0
EXP,Expanse,Ethash,True,PoW,10495278.0,16906397.0
CON,Paycon,X13,True,PoW/PoS,23042604.0,50000000.0
SC,Siacoin,Blake2b,True,PoW,33098296530.0,0.0
EMC,Emercoin,SHA-256,True,PoW/PoS,43059794.804778,1000000000.0
EGC,EverGreenCoin,X15,True,PoW/PoS,13530556.4180753,26298000.0
MND,MindCoin,X11,True,PoW,15867695.0,16000000.0
I0C,I0coin,SHA-256,True,PoW,20997476.8650231,21000000.0
DCR,Decred,BLAKE256,True,PoW/PoS,10365046.9281661,21000000.0
RVR,Revolution VR,Scrypt,True,PoW,210000000.0,210000000.0
HODL,HOdlcoin,1GB AES Pattern Search,True,PoW,11448949.0,81962100.0
EDRC,EDRCoin,SHA-256,True,PoW/PoS,3669691.84494672,22000000.0
HTC,Hitcoin,X11,True,PoW/PoS,10996318099.0,26550000000.0
GAME,Gamecredits,Scrypt,True,PoW,69836100.0,84000000.0
DBIC,DubaiCoin,SHA-256,True,PoW/PoS,5129014.0,10500000.0
DIEM,CarpeDiemCoin,SHA-256,True,PoW,21739971929.0,21626280000.0
PWR,PWR Coin,NIST5,True,PoW/PoS,10069449031.9252,0.0
BLRY,BillaryCoin,Scrypt,True,PoW/PoS,8998743.2411911,42000000.0
GPU,GPU Coin,Scrypt,True,PoS,40477042.0,221052632.0
ADZ,Adzcoin,X11,True,PoW,45110324.0,84000000.0
SOIL,SoilCoin,Dagger,True,PoW,5702048.0,30000000.0
YOC,YoCoin,Scrypt,True,PoW,636462.55983338,168351300.0
SIB,SibCoin,X11GOST,True,PoW,17263355.0,24000000.0
ERC,EuropeCoin,X11,True,PoW/PoS,10407269.7881868,384000000.0
ZEIT,ZeitCoin,Scrypt,True,PoS,36971236046.8073,99000000000.0
SWING,SwingCoin,SHA-256,True,PoW/PoS,4377081.60953993,40000000.0
SAFEX,SafeExchangeCoin,Scrypt,True,PoC,2147483647.0,2147483647.0
NEBU,Nebuchadnezzar,PoS,True,PoS,20000000.0,20000000.0
FRN,Francs,Scrypt,True,PoW,6570807.65677618,20000000.0
BOLI,BolivarCoin,X11,True,PoW,13654082.4987998,25000000.0
XRA,Ratecoin,X11,True,PoW/PoS,134554941.15119,75000000.0
REV,Revenu,SHA-256,True,PoW/PoS,1195525.0,222725000.0
CKC,Clockcoin,SHA-256,True,PoW/PoS,16662820.0,525000000.0
VIP,VIP Tokens,NIST5,True,PoW/PoS,83450403.0,90000000.0
BSD,BitSend,X11,True,PoW/PoS,24387724.5010828,139000000.0
OMNI,Omni,Scrypt,True,PoW,616448.0,616448.0
LIR,Let it Ride,POS 3.0,True,PoS,38589808.6658096,33500000.0
PUT,PutinCoin,Scrypt,True,PoW/PoS,813092338.575672,2000000000.0
IBANK,iBankCoin,Scrypt,True,PoW/PoS,4526324.0,44333333.0
FRWC,Frankywillcoin,Scrypt,True,PoW/PoS,100000000.0,100000000.0
MUDRA,MudraCoin,X13,True,PoS,5000000.0,200000000.0
PIZZA,PizzaCoin,X11,True,PoW,1377917.0,25000000.0
LC,Lutetium Coin,X11,True,PoS,657000000.0,657000000.0
KMD,Komodo,Equihash,True,dPoW/PoW,115898131.0,200000000.0
GB,GoldBlocks,X11,True,PoW/PoS,15563873.0,50000000.0
CTC,CarterCoin,Scrypt,True,PoW/PoS,43165500.0,90000000.0
KRB,Karbo,CryptoNight,True,PoW,7822432.72439746,10000000.0
BXT,BitTokens,SHA-256,True,PoW/PoS,595429.0,21000000.0
ZYD,ZayedCoin,SHA-256,True,PoW,6243840.0,9736000.0
MST,MustangCoin,X11,True,PoW/PoS,657636.34549789,3000000.0
ZNE,ZoneCoin,Scrypt,True,PoW/PoS,2581970.0,21000000.0
COVAL,Circuits of Value,Multiple,True,PoW,1000000000.0,1200000000.0
ROOT,RootCoin,Scrypt,True,PoW/PoS,1939889.0,0.0
DOPE,DopeCoin,Scrypt,True,PoW,116845228.0,200000000.0
BTCR,BitCurrency,Scrypt,True,PoS,169598616.0,0.0
DLC,DollarCoin,SHA-256,True,PoW,9106714.0,10638298.0
SCN,Swiscoin,Scrypt,True,PoW/PoW,665200057.0,3100000000.0
SH,Shilling,Scrypt,True,PoW,11119200.0,30000000.0
BUZZ,BuzzCoin,SHA-256D,True,PoW/PoS,19577787259.0,20000000000.0
XPO,Opair,PoS,True,PoS,74033806.7949683,74000000.0
PSB,PesoBit,Scrypt,True,PoW/PoS,33522957.0,0.0
HALLO,Halloween Coin,X11,True,PoW/PoS,264678458.288619,1500000000.0
XZC,ZCoin,Lyra2Z,True,PoW,7568281.24956067,21400000.0
CFC,CoffeeCoin,PoS,True,PoS,148716816.0,39999898.0
ROYAL,RoyalCoin,X13,True,PoS,2500124.0,2500124.0
GNJ,GanjaCoin V2,X14,True,PoW/PoS,100000000.0,100000000.0
TEAM,TeamUP,PoS,True,PoS,17818682.1654,301000000.0
LANA,LanaCoin,SHA-256D,True,PoW/PoS,1082162635.53683,7506000000.0
ELE,Elementrem,Ethash,True,PoW,26205539.0,26205539.0
ZCL,ZClassic,Equihash,True,PoW,5613550.0,21000000.0
ARK,ARK,DPoS,True,DPoS,108202084.0,125000000.0
INSANE,InsaneCoin,X11,True,PoW/PoS,18342813.0,30000000.0
KLC,KiloCoin,Scrypt,True,PoW,196297971.0,10000000000.0
ATX,ArtexCoin,X11,True,PoW,824000000.0,500000000.0
EMB,EmberCoin,X13,True,PoW/PoS,92192822723.0,850000000.0
XEN,XenixCoin,X11,True,PoW/PoS,3853326.77707314,3853326.77707314
FRE,FreeCoin,PoS,True,PoS,50000000.0,50000000.0
PLNC,PLNCoin,Scrypt,True,PoW/PoS,17089600.0,38540000.0
ARCO,AquariusCoin,Scrypt,True,PoW/PoS,2449577.41533168,42000000.0
KURT,Kurrent,X11,True,PoW,61364813.0,228000000.0
XCRE,Creatio,PoS,True,PoS,20000000.0,20000000.0
ENT,Eternity,X11,True,PoW/PoS,6069482.07721352,60000000.0
EUC,Eurocoin,SHA-256,True,PoW/PoS,12416554.0,20000000.0
BCF,BitcoinFast,Scrypt,True,PoW/PoS,20244023.640728,33000000.0
XSN,Stakenet,X11,True,TPoS,75590369.0,76500000.0
BCCOIN,BitConnect Coin,Scrypt,True,PoW/PoS,11080722.3769581,28000000.0
MONEY,MoneyCoin,Scrypt,True,PoW/PoS,10914418.0,650659833.0
XNG,Enigma,X11,True,PoW/PoS,814671.0,5000000.0
XCI,Cannabis Industry Coin,CryptoNight,True,PoW,978145.0,21000000.0
RC,Russiacoin,Scrypt,True,PoW/PoS,8377873.0,144000000.0
PND,PandaCoin,Scrypt,True,PoS,33813143821.8337,32514916898.0
UNITS,GameUnits,Scrypt,True,PoW/PoS,3472983.0,13000000.0
GAKH,GAKHcoin,Scrypt,True,PoW/PoS,3315789.0,3315789.0
ASAFE2,Allsafe,Quark,True,PoS,10517772.7391666,15000000.0
LTCR,LiteCreed,QuBit,True,PoW/PoS,30227750.0,78835200.0
OS76,OsmiumCoin,Scrypt,True,PoW,894026.0,2714286.0
BIC,Bikercoins,CryptoNight,True,PoW,9357088.0,25000000.0
HXX,HexxCoin,Lyra2RE,True,PoW,1876146.443596,9999999.0
KED,Klingon Empire Darsek,Scrypt,True,PoW/PoS,23965372.0,500000000.0
IOP,Internet of People,SHA-256,True,PoW/PoS,2526078.47525448,21000000.0
KUSH,KushCoin,X11,True,PoW/PoS,5659096.95728771,9354000.0
PRX,Printerium,Scrypt,True,PoW/PoS,11821728.0,20000000.0
PAC,PacCoin,X11,True,PoW,536982074.0,100000000000.0
IMPCH,Impeach,Scrypt,True,PoW/PoS,308179.0,21933333.0
CTL,Citadel,CryptoNight-V7,True,PoW,10969318.522954,185000000.0
ZBC,Zilbercoin,Scrypt,True,PoS,2922613.96424908,55000000.0
FRST,FirstCoin,Scrypt,True,PoW/PoS ,110000000.0,110000000.0
BVC,BeaverCoin,Scrypt,True,PoW,3115258.0,3360000.0
FIND,FindCoin,X13,True,PoS,14524851.4827,14524851.4827
VLTC,VaultCoin,X11,True,PoW,30385540.0,1000000000.0
ZER,Zero,Equihash,True,PoW,6921653.89980891,17000000.0
CHAT,OpenChat,Scrypt,True,PoW/PoS,1000000000.0,1000000000.0
CDN,Canada eCoin,Scrypt,True,PoW,99843408.3158479,100000000.0
ZOI,Zoin,Lyra2RE,True,PoW,18545757.5,21000000.0
RNS,RenosCoin,Scrypt,True,PoS,36050365.0,34426423.0
DBIX,DubaiCoin,Dagger-Hashimoto,True,PoW,2232901.0,2232901.0
XVP,VirtacoinPlus,X11,True,PoW/PoS,13162749.0858027,100000000.0
TAJ,TajCoin,Blake2S,True,PoW/PoS,12184195.9258495,36900000.0
IMX,Impact,X11,True,PoW/PoS,110630387.850471,110000000.0
EB3,EB3coin,Scrypt,True,PoW,64096052.0,4000000000.0
ATMOS,Atmos,PoS,True,PoS,111135836.889,110290030.0
HPC,HappyCoin,X11,True,PoW/PoS,21521322.0099142,100000000.0
CXT,Coinonat,NIST5,True,PoW,10123200.0,48252000.0
MCRN,MacronCoin,PoS,True,PoS,401421401.0,400000000.0
RAIN,Condensate,X11,True,PoW/PoS,121665451.643876,500000000.0
IMS,Independent Money System,Scrypt,True,PoW/PoS,5368934.0,21212121.0
ARGUS,ArgusCoin,Scrypt,True,PoW/PoS,1148324.0,28600000.0
LMC,LomoCoin,Scrypt,True,PoW/PoS,500000.0,1000000000.0
PROC,ProCurrency,SHA-256,True,PoS,100545745.0,75000000000.0
XGR,GoldReserve,X11,True,PoW/PoS,17171382.0,40000000.0
BENJI,BenjiRolls,Scrypt,True,PoW,20276099.146524,35520400.0
GRW,GrowthCoin,Scrypt,True,PoS,295135466.361878,2000000000.0
ILC,ILCoin,SHA-256,True,PoW,1317747500.0,2500000000.0
PHR,Phreak,PoS,True,PoS,11390225.9742772,30000000.0
DEA,Degas Coin,Scrypt,True,PoW/PoS,21358764.0,105000000.0
